create_rate,modified_rate,rename_rate,delete_rate,operations_rate,directories_affected,activity_burst,label
0.259,0.145,0.0,0.0,0.419,0,2.0,0
1.303,8.494,3.715,0.37,13.678,4,9.0,1
3.766,19.039,20.427,1.365,44.335,6,41.0,1
0.273,0.134,0.0,0.0,0.365,1,0.0,0
0.228,1.194,0.0,0.0,1.37,1,3.0,0
1.105,2.399,0.714,0.265,4.466,3,4.0,0
0.007,0.047,0.0,0.0,0.046,1,0.0,0
0.15,0.666,0.0,0.0,0.746,2,2.0,0
3.019,1.347,0.521,0.149,5.015,1,4.0,0
1.412,0.603,0.0,0.203,2.276,1,2.0,0
1.343,1.531,0.113,1.251,4.226,3,6.0,0
0.006,0.01,0.0,0.0,0.068,1,0.0,0
0.023,0.001,0.0,0.0,0.065,0,0.0,0
0.353,0.385,0.247,0.0,1.069,1,1.0,0
3.5,7.86,4.092,0.839,16.406,3,13.0,1
6.532,11.828,19.073,0.931,38.263,6,25.0,1
2.459,1.517,0.0,0.729,4.681,2,4.0,0
2.02,3.858,8.132,0.072,14.113,6,9.0,1
0.038,1.013,0.0,0.0,1.075,1,2.0,0
1.361,2.061,0.2,1.143,4.732,2,6.0,0
0.054,0.534,0.0,0.0,0.648,2,3.0,0
2.87,11.99,11.031,0.626,26.521,9,42.0,1
0.073,0.081,0.0,0.0,0.215,1,1.0,0
1.565,2.166,0.615,0.353,4.702,2,4.0,0
5.852,6.673,20.708,2.788,36.415,4,18.0,1
0.354,0.67,0.216,0.0,1.21,1,3.0,0
4.333,12.492,30.876,1.342,48.899,3,45.0,1
2.404,1.572,0.0,0.371,4.257,2,5.0,0
1.325,5.995,3.776,0.992,12.259,5,15.0,1
1.311,1.316,0.0,0.465,3.188,1,2.0,0
0.008,0.281,0.0,0.0,0.304,0,1.0,0
0.375,0.285,0.0,0.0,0.685,2,1.0,0
8.741,22.516,10.633,0.584,42.486,3,48.0,1
4.578,6.183,29.513,1.127,41.883,5,18.0,1
0.199,0.437,0.0,0.0,0.597,1,1.0,0
9.9,34.191,16.471,2.535,63.187,7,41.0,1
2.839,27.073,15.602,2.148,48.007,8,53.0,1
4.341,14.624,10.598,1.913,31.31,10,20.0,1
